Caso,Quick Sort,Heap Sort
Pior,0.004480,0.000554
Pior,0.004585,0.000560
Pior,0.004776,0.000598
Pior,0.003865,0.000376
Pior,0.003001,0.000338
Pior,0.002265,0.000311
Pior,0.002401,0.000281
Pior,0.001823,0.000245
Pior,0.001771,0.000225
Pior,0.001495,0.000186
Melhor,0.000149,0.000036
Melhor,0.000132,0.000035
Melhor,0.000135,0.000035
Melhor,0.000133,0.000053
Melhor,0.000133,0.000055
Melhor,0.000134,0.000051
Melhor,0.000126,0.000055
Melhor,0.000117,0.000035
Melhor,0.000114,0.000047
Melhor,0.000099,0.000034
