case,counting,bucket,radix
b,0.000010,0.000035,0.000057
b,0.000008,0.000034,0.000029
b,0.000008,0.000046,0.000028
b,0.000007,0.000033,0.000028
b,0.000007,0.000033,0.000028
b,0.000007,0.000033,0.000028
b,0.000031,0.000034,0.000029
b,0.000007,0.000034,0.000028
b,0.000008,0.000033,0.000029
b,0.000007,0.000034,0.000029
w,0.021000,0.045042,0.000028
w,0.025979,0.050241,0.000029
w,0.021025,0.046020,0.000028
w,0.021006,0.045172,0.000029
w,0.021346,0.046328,0.000027
w,0.021647,0.044894,0.000028
w,0.021753,0.045515,0.000027
w,0.021150,0.044887,0.000027
w,0.021525,0.045365,0.000027
w,0.022198,0.045269,0.000028
