size,counting,bucket,radix256,heap,quick
100,0.001239,0.002476,0.000026,0.000048,0.000033
100,0.001155,0.002315,0.000026,0.000042,0.000032
100,0.000745,0.002372,0.000027,0.000039,0.000028
100,0.000602,0.000804,0.000017,0.000023,0.000016
100,0.000463,0.000802,0.000017,0.000020,0.000015
100,0.000503,0.000835,0.000018,0.000021,0.000017
100,0.000460,0.000758,0.000013,0.000015,0.000011
100,0.000366,0.000602,0.000018,0.000019,0.000014
100,0.000347,0.000657,0.000017,0.000020,0.000015
100,0.000346,0.000606,0.000018,0.000018,0.000014
500,0.000378,0.000671,0.000036,0.000175,0.000137
500,0.000385,0.000521,0.000029,0.000117,0.000090
500,0.000349,0.000514,0.000029,0.000114,0.000088
500,0.000288,0.000513,0.000028,0.000112,0.000087
500,0.000292,0.000560,0.000029,0.000112,0.000087
500,0.000289,0.000577,0.000034,0.000094,0.000073
500,0.000241,0.000428,0.000025,0.000092,0.000073
500,0.000241,0.000452,0.000026,0.000093,0.000092
500,0.000256,0.000463,0.000024,0.000096,0.000073
500,0.000241,0.000430,0.000025,0.000103,0.000106
1000,0.000313,0.001299,0.000038,0.000187,0.000153
1000,0.000219,0.001172,0.000037,0.000221,0.000183
1000,0.000377,0.001161,0.000069,0.000189,0.000151
1000,0.000219,0.000399,0.000033,0.000163,0.000132
1000,0.000190,0.000353,0.000032,0.000162,0.000131
1000,0.000191,0.000391,0.000032,0.000161,0.000131
1000,0.000191,0.000353,0.000033,0.000162,0.000132
1000,0.000191,0.000354,0.000032,0.000200,0.000214
1000,0.000191,0.000352,0.000029,0.000144,0.000117
1000,0.000170,0.000313,0.000029,0.000144,0.000163
2500,0.000264,0.001086,0.000067,0.000443,0.000343
2500,0.000286,0.000844,0.000108,0.000498,0.000341
2500,0.000187,0.000379,0.000064,0.000452,0.000339
2500,0.000186,0.000380,0.000081,0.000455,0.000324
2500,0.000188,0.000380,0.000156,0.000464,0.000483
2500,0.000189,0.000548,0.000124,0.000568,0.000329
2500,0.000269,0.000588,0.000107,0.000480,0.000392
2500,0.000295,0.000595,0.000064,0.000492,0.000324
2500,0.000187,0.000380,0.000065,0.000388,0.000474
2500,0.000215,0.000380,0.000064,0.000435,0.000448
5000,0.000231,0.000706,0.000152,0.000975,0.001061
5000,0.000231,0.000523,0.000127,0.000849,0.000789
5000,0.000231,0.000733,0.000127,0.000951,0.000948
5000,0.000359,0.000602,0.000127,0.001053,0.000697
5000,0.000231,0.000643,0.000126,0.001080,0.000871
5000,0.000230,0.000619,0.000128,0.000954,0.000810
5000,0.000263,0.000595,0.000140,0.000896,0.000701
5000,0.000252,0.000646,0.000217,0.000872,0.000961
5000,0.000231,0.000566,0.000127,0.000844,0.000696
5000,0.000231,0.000730,0.000128,0.001004,0.000861
7500,0.000275,0.000752,0.000189,0.001461,0.001267
7500,0.000275,0.000669,0.000335,0.001434,0.001123
7500,0.000275,0.000796,0.000188,0.001512,0.001310
7500,0.000275,0.000674,0.000186,0.001524,0.001122
7500,0.000276,0.000669,0.000337,0.001446,0.001342
7500,0.000276,0.000832,0.000188,0.001876,0.001278
7500,0.000397,0.000786,0.000188,0.001326,0.001129
7500,0.000292,0.000989,0.000306,0.001463,0.001343
7500,0.000276,0.000785,0.000188,0.001675,0.001125
7500,0.000275,0.000776,0.000188,0.001417,0.001342
10000,0.000442,0.000985,0.000249,0.001830,0.001946
10000,0.000324,0.000996,0.000267,0.002108,0.002352
10000,0.000329,0.001182,0.000323,0.002483,0.001880
10000,0.000332,0.000937,0.000249,0.002059,0.001800
10000,0.000319,0.000929,0.000250,0.002162,0.002049
10000,0.000322,0.000831,0.000311,0.002117,0.001862
10000,0.000322,0.000824,0.000387,0.002185,0.002012
10000,0.000321,0.000829,0.000249,0.001944,0.001977
10000,0.000321,0.000904,0.000351,0.002062,0.001875
10000,0.000321,0.000941,0.000249,0.002021,0.001945
15000,0.000443,0.001263,0.000372,0.003328,0.002600
15000,0.000417,0.001297,0.000553,0.003265,0.003008
15000,0.000422,0.001175,0.000455,0.003366,0.002837
15000,0.000415,0.001296,0.000496,0.003044,0.002732
15000,0.000441,0.001184,0.000556,0.003141,0.002861
15000,0.000520,0.001360,0.000372,0.002937,0.002873
15000,0.000416,0.001316,0.000371,0.003432,0.002635
15000,0.000411,0.001647,0.000389,0.003248,0.002503
15000,0.000464,0.001390,0.000388,0.003365,0.002546
15000,0.000519,0.001171,0.000450,0.003606,0.002787
25000,0.000612,0.002284,0.000787,0.005754,0.004893
25000,0.000878,0.002026,0.000661,0.005496,0.004914
25000,0.000617,0.002024,0.000641,0.005452,0.004852
25000,0.000593,0.002288,0.000703,0.005649,0.004685
25000,0.000767,0.002131,0.000621,0.005437,0.005164
25000,0.000756,0.001985,0.000745,0.005685,0.004403
25000,0.000695,0.002045,0.000604,0.005471,0.004541
25000,0.000652,0.002168,0.000618,0.005633,0.004471
25000,0.000633,0.001861,0.000816,0.005405,0.004529
25000,0.000633,0.002182,0.001051,0.006760,0.005550
50000,0.001250,0.004655,0.001234,0.011722,0.010267
50000,0.001162,0.004514,0.001456,0.012048,0.009830
50000,0.001111,0.004062,0.001607,0.011574,0.010720
50000,0.001667,0.006554,0.001533,0.012459,0.010153
50000,0.001129,0.004158,0.001337,0.012405,0.010384
50000,0.001158,0.004441,0.001413,0.012358,0.010190
50000,0.001101,0.004904,0.001418,0.012271,0.010263
50000,0.001230,0.004541,0.001234,0.012458,0.010031
50000,0.001180,0.005172,0.001441,0.012127,0.010261
50000,0.001292,0.004072,0.001236,0.012701,0.010097
75000,0.001548,0.006315,0.002436,0.019952,0.015942
75000,0.001511,0.006416,0.001911,0.019497,0.016251
75000,0.001733,0.006516,0.001904,0.018975,0.015790
75000,0.001493,0.007124,0.002104,0.019225,0.015851
75000,0.001598,0.007062,0.001953,0.019021,0.016748
75000,0.001493,0.007022,0.002139,0.019939,0.017206
75000,0.001741,0.006557,0.002132,0.019830,0.016730
75000,0.001498,0.006493,0.002255,0.019751,0.016288
75000,0.001647,0.007032,0.002204,0.019524,0.016254
75000,0.001443,0.007031,0.001954,0.018548,0.016180
100000,0.001803,0.010220,0.002652,0.032602,0.022310
100000,0.001998,0.009240,0.002636,0.026891,0.020615
100000,0.001752,0.008700,0.002705,0.026592,0.021755
100000,0.001789,0.009111,0.002761,0.027475,0.021343
100000,0.001719,0.009193,0.003018,0.026994,0.021747
100000,0.001695,0.009335,0.002506,0.026034,0.021985
100000,0.001673,0.009540,0.002732,0.025661,0.021190
100000,0.001717,0.009787,0.003093,0.026736,0.021334
100000,0.001752,0.012438,0.002608,0.027691,0.022211
100000,0.001731,0.009084,0.002620,0.026128,0.021084
